movie_name,biehn_scale_rating,biehn_yes_or_no,tmdb_id,imdb_id,budget,primary_genre,secondary_genre,tmdb_popularity,revenue,runtime,tmdb_vote_average,tmdb_vote_count,imdb_rating,imdb_votes,year,rt_critic_score,metascore,rt_audience_score
Zoolander 2,7.0,Yes,329833,tt1608290,50000000,Comedy,,14.423,55969000,100,4.8,1788,4.7,67483.0,2016.0,22%,34,20
Dope,8.5,Yes,308639,tt3850214,700000,Crime,Drama,15.527,17986781,103,7.1,1190,7.2,83147.0,2015.0,88%,72,83
The Big Short,8.0,Yes,318846,tt1596363,28000000,Comedy,Drama,22.292,133346506,131,7.3,7026,7.8,395865.0,2015.0,89%,81,88
Deadpool,10.0,Yes,293660,tt1431045,58000000,Action,Adventure,167.115,783100000,108,7.6,25806,8.0,960222.0,2016.0,85%,65,90
The Martian,8.0,Yes,286217,tt3659388,108000000,Drama,Adventure,62.909,630161890,144,7.7,16306,8.0,803829.0,2015.0,91%,80,91
Hardcore Henry,7.5,Yes,325348,tt3072482,10000000,Action,Adventure,28.051,14333790,97,6.3,1815,6.7,91845.0,2015.0,51%,51,54
San Andreas,4.0,No,254128,tt2126355,110000000,Action,Drama,99.576,473990832,114,6.2,6892,6.1,226218.0,2015.0,49%,43,52
Terminator,10.0,No,534,tt0438488,200000000,Action,Science Fiction,111.844,371353001,115,6.0,5138,6.5,352561.0,2009.0,33%,49,
Captain America: Civil War,8.0,Yes,271110,tt3498820,250000000,Adventure,Action,155.051,1153296293,147,7.4,18883,7.8,718486.0,2016.0,90%,75,89
All the Way,9.5,Yes,9279,tt0116705,60000000,Family,Comedy,32.016,129832389,89,5.9,1925,5.7,97301.0,1996.0,17%,34,
The Man from U.N.C.L.E.,7.5,Yes,203801,tt1638355,75000000,Comedy,Action,26.596,108145109,116,7.1,5030,7.3,293023.0,2015.0,68%,56,73
Chef,9.0,Yes,212778,tt2883512,11000000,Comedy,,16.379,45967935,114,7.1,2544,7.3,207423.0,2014.0,87%,68,
Independence Day: Resurgence,3.0,Yes,47933,tt1628841,165000000,Action,Adventure,45.912,389681935,120,5.2,5066,5.2,173752.0,2016.0,30%,32,30
Suicide Squad,4.0,Yes,436969,tt6334354,180000000,Action,Adventure,578.166,167381210,132,7.8,4837,7.3,251766.0,2021.0,,72,
Steve Jobs,7.5,Yes,321697,tt2080374,30000000,Drama,History,14.13,34441873,122,6.8,3467,7.2,163526.0,2015.0,85%,82,73
Tickled,8.0,Yes,373072,tt5278506,0,Documentary,,6.17,923000,92,7.3,300,7.5,17765.0,2016.0,94%,76,86
Arrival,8.5,Yes,329865,tt2543164,47000000,Drama,Science Fiction,45.757,203388186,116,7.6,14416,7.9,647707.0,2016.0,94%,81,82
The Jungle Book,9.5,Yes,9325,tt0061852,4000000,Family,Animation,54.984,205843612,78,7.3,5056,7.6,173965.0,1967.0,88%,65,
Why Him,8.0,Yes,356305,tt4501244,38000000,Comedy,,25.444,118102725,111,6.3,3408,6.2,107269.0,2016.0,39%,39,51
Office Christmas Party,7.0,Yes,384682,tt1711525,45000000,Comedy,,17.247,114501299,105,5.6,1649,5.9,73968.0,2016.0,41%,42,40
Assassin's Creed,1.5,No,121856,tt2094766,125000000,Action,Adventure,27.446,240697856,115,5.4,6571,5.7,193310.0,2016.0,18%,36,42
Sing,6.0,Yes,335797,tt3470600,75000000,Family,Animation,151.397,634151679,108,7.1,6312,7.1,144749.0,2016.0,71%,59,72
Hell or High Water,7.0,Yes,338766,tt2582782,12000000,Western,Crime,22.558,37589296,102,7.3,3523,7.6,216560.0,2016.0,96%,88,88
Logan,9.0,Yes,263115,tt3315342,97000000,Action,Drama,76.176,619021436,137,7.8,16235,8.1,697581.0,2017.0,94%,77,90
Alien: Covenant,8.0,Yes,126889,tt2316204,97000000,Horror,Science Fiction,74.759,232380243,122,6.0,6780,6.4,268129.0,2017.0,65%,65,55
Spider-Man: Homecoming,7.0,Yes,315635,tt2250912,175000000,Action,Adventure,565.038,880166924,133,7.4,17179,7.4,564856.0,2017.0,92%,73,87
The Belko Experiment,7.0,Yes,341006,tt1082807,5000000,Horror,Action,12.031,10166820,89,6.1,1088,6.1,48480.0,2016.0,54%,44,40
"Guardians of the Galaxy, Vol. 2",4.5,No,283995,tt3896198,200000000,Adventure,Action,86.368,863756051,137,7.6,17423,7.6,619689.0,2017.0,85%,67,87
Get Out,9.5,Yes,419430,tt5052448,4500000,Mystery,Thriller,37.756,255407969,104,7.6,13471,7.7,538718.0,2017.0,98%,85,86
Don't Breathe,8.0,Yes,482373,tt6246322,10000000,Thriller,Horror,272.809,45000000,98,7.6,1188,6.1,35244.0,2021.0,,46,
Hannah,8.5,Yes,18126,tt1114677,35000000,Comedy,Drama,36.508,155545279,102,6.6,1670,4.6,41416.0,2009.0,43%,47,
Dunkirk,8.5,Yes,374720,tt5013056,100000000,War,Action,32.837,527000000,107,7.5,13438,7.8,604695.0,2017.0,92%,94,81
Fantastic Beasts and Where to Find Them,7.0,Yes,259316,tt3183660,180000000,Adventure,Fantasy,79.495,809342332,132,7.3,15819,7.3,432471.0,2016.0,74%,66,79
Life,3.0,No,9487,tt0120623,120000000,Adventure,Animation,75.511,363258859,95,7.0,7302,7.2,279589.0,1998.0,92%,77,
Imperium,7.0,Yes,374617,tt4781612,0,Crime,Drama,17.553,35000,109,6.5,1032,6.5,44568.0,2016.0,85%,68,64
Death Note,0.5,No,351460,tt1241317,40000000,Crime,Drama,32.943,0,101,4.2,3351,4.4,81525.0,2017.0,38%,43,23
Little Evil,7.0,Yes,346671,tt2937366,0,Comedy,Horror,10.992,0,94,5.6,742,5.7,20502.0,2017.0,92%,N/A,48
Gerald's Game,7.5,Yes,343674,tt3748172,0,Horror,Thriller,18.277,0,104,6.4,2825,6.5,100717.0,2017.0,91%,77,70
The Meyerowitz Stories,6.0,No,396398,tt5536736,0,Comedy,Drama,13.804,0,112,6.4,896,6.9,46392.0,2017.0,93%,79,72
The Mist,7.0,Yes,5876,tt0884328,18000000,Horror,Science Fiction,36.421,57096190,126,6.8,3718,7.1,293676.0,2007.0,72%,58,65
Swingers,7.0,Yes,10218,tt0117802,200000,Comedy,,15.221,4505922,96,7.0,533,7.2,80061.0,1996.0,87%,71,
Schindler's List,8.0,Yes,424,tt0108052,22000000,Drama,History,34.931,321365567,195,8.6,12061,8.9,1277737.0,1993.0,98%,94,97
The Darkest Hour,7.5,Yes,71469,tt1093357,30000000,Horror,Action,19.023,64626786,89,5.3,1132,4.9,60086.0,2011.0,12%,18,25
Three Billboards Outside Ebbing Missouri,6.5,No,359940,tt5027774,15000000,Crime,Drama,18.106,160192031,115,8.1,8148,8.1,471877.0,2017.0,90%,88,87
Ladybird,5.0,Yes,49980,tt0110296,0,Drama,,4.688,0,101,7.3,59,7.4,3440.0,1994.0,75%,N/A,85
Futile and Stupid Gesture,7.5,Yes,391710,tt5566790,10000000,Comedy,,10.043,0,101,6.5,252,6.8,15120.0,2018.0,67%,55,71
The Cloverfield Paradox,2.0,No,384521,tt2548396,45000000,Horror,Science Fiction,19.344,0,102,5.6,2546,5.5,100918.0,2018.0,21%,37,42
Black Panther,7.5,Yes,284054,tt1825683,200000000,Action,Adventure,99.862,1346739107,134,7.4,18202,7.3,687276.0,2018.0,96%,88,79
Ready Player One,7.5,Yes,333339,tt1677720,175000000,Science Fiction,Adventure,99.966,582890172,140,7.6,12200,7.4,403482.0,2018.0,72%,64,77
A Quiet Place,9.0,Yes,520763,tt8332922,61000000,Science Fiction,Thriller,241.923,297372261,97,7.7,3359,7.3,175580.0,2020.0,91%,71,
Avengers: Infinity War,8.0,Yes,299536,tt4154756,300000000,Adventure,Action,376.856,2046239637,149,8.3,23140,8.4,943237.0,2018.0,85%,68,91
The Disaster Artist,9.5,Yes,371638,tt3521126,10000000,Comedy,Drama,12.859,29820616,104,7.1,2924,7.3,146555.0,2017.0,91%,76,85
Annihilation,3.0,No,300668,tt2798920,40000000,Science Fiction,Horror,34.657,43070915,115,6.4,6819,6.8,301834.0,2018.0,88%,79,66
Sicario Day of the Soldado ,5.0,Yes,400535,tt5052474,35000000,Action,Crime,49.754,75836683,122,6.9,2548,7.1,137999.0,2018.0,62%,61,65
Mission Impossible: Fallout,9.0,Yes,353081,tt4912910,178000000,Action,Adventure,48.992,791017452,147,7.4,6236,7.7,310998.0,2018.0,97%,86,88
It Comes at Night,8.5,Yes,418078,tt4695012,5000000,Drama,Horror,27.438,19280931,91,5.8,1841,6.2,89600.0,2017.0,87%,78,44
